Name,Type,Website,Currency,Summary,Country,Linkedin,Instagram,Facebook,Youtube,Twitter
dmarcian,business,http://dmarcian.com,USD,SaaS High Tech devoted to email security standards for a safer world  online,United States of America,https://www.linkedin.com/company/dmarcian,None,https://www.facebook.com/dmarcian/,None,https://twitter.com/dmarcian
Voice Over For The Planet,business,https://voiceoverfortheplanet.com,USD,A collective of professional voice over artists seeking to leverage our voices to further environmental sustainability,United States of America,https://www.linkedin.com/company/voice-over-for-the-planet,https://www.instagram.com/voiceoverfortheplanet/,None,https://www.youtube.com/@VoiceOverForThePlanet-kp8zf,None
Cloud Voices LLC,business,https://annecloudvoiceover.com,USD,"Award Winning Voice Actor, Storyteller, and Play Enthusiast",United States of America,https://www.linkedin.com/in/annecloud/,https://www.instagram.com/annecloud.voiceover/,None,https://www.youtube.com/channel/UCpGkSZi1ILJEvrtfXbyo5jQ,None
Terra Farmstead Kombucha,business,http://Www.terrakombucha.com,USD,None,United States of America,None,None,None,None,None
Sauna House,business,http://www.saunahouse.com,USD,Sauna House - Asheville NC,United States of America,None,http://@sauna_house,None,None,None
"Kent Williamson Photography, LLC",business,http://wkentphoto.com,USD,Kent Williamson Photography,United States of America,None,None,None,None,None
Big Path Capital,business,http://www.bigpathcapital.com,USD,None,United States of America,https://www.linkedin.com/in/michaelwhelchel,None,None,None,None
Button Pin Fun,business,http://www.buttonpinfun.com,USD,None,United States of America,None,None,None,None,None
Castillo Knives,business,https://castilloknives.es/,USD,None,United States of America,None,https://www.instagram.com/castillo_knives/,None,None,None
Ava Bock Art,business,https://AvaBock.Art,USD,None,United States of America,https://www.linkedin.com/company/25003390,https://instagram.com/avabockart,https://facebook.com/avabockart,https://www.youtube.com/channel/UCmBhvGTQZsSYSCf4MF7WURg,None
ENO,business,https://www.eaglesnestoutfittersinc.com/,USD,None,United States of America,None,https://www.instagram.com/ENOhammocks/,https://www.facebook.com/eaglesnestoutfitters?sk=info,https://www.youtube.com/user/EaglesNestOutfitters,https://twitter.com/enohammocks
Practical Insight,business,http://adriannegordon.com,USD,"EOS consulting, training, and coaching for mission-driven companies.",United States,https://www.linkedin.com/in/adriannegordon/,None,None,None,None
Compass Paper Co,business,https://www.compasspaperco.com/,USD,None,United States of America,None,http://@compasspaperco,None,None,None
Red Panda LLC,business,https://redpandalab.com,USD,Musical equipment manufacturer,United States of America,None,http://www.instagram.com/redpandalab,http://www.facebook.com/RedPandaLab,http://www.youtube.com/user/redpandalab,http://twitter.com/redpandalab
Telos Financial,business,http://www.telosfp.com,USD,"Telos Financial, Financial Planning for your Purpose",United States of America,http://www.linkedin.com/in/dennislavoy,None,https://www.facebook.com/telosfinancial,https://www.youtube.com/channel/UCacH-JjIZM1M-hE3OORr_OA/videos?view=0&sort=p,None
Rugged Beauty Cosmetics,business,https://www.weareruggedbeauty.com,USD,None,United States of America,None,None,None,None,None
Primo Sports Company LLC,business,http://Primosportsco.com,USD,None,United States of America,None,http://instagram.com/primolacrosse,http://facebook.com/primolacrosse,None,None
Bee Mission,business,http://www.beemission.com,USD,Bee Mission - Save the Bees,United States of America,None,https://www.instagram.com/officialbeemission/,https://www.facebook.com/SaveTheBeesOfficial,None,None
